merge_label,Zip5,delta_hhi,acquiror_share,target_share,merge_id,-5,-4,-3,-2,-1,0,1,2,3,4,5
Beazer/Ellington - American Homes 4 Rent,30044,0,0,0,1,2.55955194891256,2.5840456879202,2.67074591676285,2.66366091479104,2.67133912236852,2.79218741322738,2.85603854775954,2.90693340886391,2.95340539456844,3.0481688990826,3.09921938819452
Beazer/Ellington - American Homes 4 Rent,30046,0,0,0,1,5.49214664846562,5.67669558090294,6.05392556240355,5.87688085344827,5.96939225140398,6.03750242202636,6.16986205505853,6.2432757241351,6.25202160028508,6.547920325276,6.60589245607082
Beazer/Ellington - American Homes 4 Rent,30058,0,0,0,1,2.88272155474747,2.92473664221098,3.2046942452089,3.22120573738611,3.47440407624915,3.64840179324331,3.86554111416301,4.03316974416334,4.4333841587478,4.67709992517766,5.47482785384382
Beazer/Ellington - American Homes 4 Rent,30078,0,0,0,1,7.41115320692932,7.63938164504119,7.89431841069504,7.79757859643188,6.5738026368709,7.46872592696121,7.72271259917818,7.80804737999699,7.99645759132715,8.20468388993909,8.20878623188406
Beazer/Ellington - American Homes 4 Rent,30083,0,0,0,1,5.92921851334163,6.16677900016778,6.34793091997554,6.31560009119387,6.59926872721891,7.74629463132709,7.40846522468245,8.02422761579495,7.47793526697246,7.34599698288941,7.83086765844907
Beazer/Ellington - American Homes 4 Rent,30087,0,0,0,1,3.78166351606805,3.57048310642319,3.81715032135765,3.97200506778244,4.10959066307821,4.37205618516135,4.42049243595035,4.53254162367985,4.57360702165659,5.16980733099328,5.24857138658286
Beazer/Ellington - American Homes 4 Rent,30094,0,0,0,1,10.8787132221603,10.9767145842969,10.6041587944135,10.9720303106153,12.1452153794304,12.0985625822244,12.0979571242116,11.7591803328655,11.8998924392929,12.2717311906501,12.0838273405927
Beazer/Ellington - American Homes 4 Rent,30096,0,0,0,1,2.50836883960694,2.63419196068459,2.78066521079633,2.77321114919617,2.74197248074346,2.83170619344022,2.83331369733515,2.80043681301119,2.784018613281,2.80742941274218,2.80544290687787
Beazer/Ellington - American Homes 4 Rent,30102,0,0,0,1,7.58666095680699,12.0855865782886,11.5453382792077,10.7455322045577,10.7822520592257,5.63316014566632,6.31131093935791,6.01455044233758,5.14072954284595,5.50507352658352,5.62534459407939
Beazer/Ellington - American Homes 4 Rent,30114,0,0,0,1,39.0265762487968,37.8257887517147,35.0340070223141,34.4847158344098,30.1790752841372,32.2607248863371,33.3647368137782,34.4664784561852,31.7850962021221,33.1360967908172,33.4050437800795
Beazer/Ellington - American Homes 4 Rent,30122,0,0,0,1,24.59695775035,24.892199034394,24.1046790762328,25.8508554381275,25.1522554225448,23.2452861067429,22.3004506813619,22.360113682327,10.0870363389008,11.2568186235857,29.2947480651666
